name,rating,date,sentiment,Scores,comment
Esmely,4.0 out of 5 stars,"Reviewed in the United States on February 3, 2024",Neutral,"{'Negative': 0.19953153, 'Neutral': 0.72830844, 'Positive': 0.07215996}","La bateria al ser 4000 milianperios esta supuesto a no durar casi nada pero samsung hizo un trabajo increble con la optimizacion. Es un celular tan poderoso que no tiene ningun problema con jugar juegos exigentes. Las animaciones de este celular estan a otro nivel ya que muestra animaciones bonitas al escuchar musica y al abrir aplicaciones. El unico problema que tiene el celular son las camaras, no estan optimizadas ya que al procesar cualquier imagen con la camara de 50 megapixeles salen las imagen con mucha luz y se sienten algo quemadas. Lo que me dejo feliz fue la calidad de video ya que esta muy estabilizado y salen con buena calidad."
Yalal Besereni,5.0 out of 5 stars,"Reviewed in the United States on February 10, 2024",Neutral,"{'Negative': 0.044482846, 'Neutral': 0.7779562, 'Positive': 0.17756103}","El Samsung Galaxy S24 Ultra es un teléfono que ha generado gran expectación.Dimensiones y Peso: El S24 Ultra mide 162,3 x 79 x 8,6 mm y pesa 233 g. Su pantalla de 6,8 pulgadas ofrece una resolución Quad HD+ AMOLED LTPO con una tasa de refresco de 120 Hz y protección Gorilla Glass Armor1.Almacenamiento: Viene en variantes de 12 + 256 GB, 12 + 512 GB y 12 + 1 TB.Cámaras Traseras:Principal: 200 MP, apertura f/1.7, con estabilización óptica de imagen (OIS).Telefoto: 50 MP, apertura f/3.4, OIS, zoom óptico 5x.Ultra gran angular: 10 MP, apertura f/2.4, OIS, zoom óptico 3x.Macro: 12 MP, apertura f/2.2.Cámara Frontal: 12 MP, apertura f/2.2.Batería: 5.000 mAh con carga rápida de 45 W y carga inalámbrica de 15 W.Sistema Operativo: Basado en Android 14 con One UI 6.1.Conectividad: 5G, WiFi 7, Bluetooth 5.3, GPS, NFC, UWB, USB tipo C.Otros: Certificación IP68, S-Pen integrado, Samsung Dex.En resumen, el Samsung Galaxy S24 Ultra es un sólido candidato a ser uno de los mejores teléfonos Android del año. Su potente hardware, pantalla nítida y funciones inteligentes lo hacen destacar. Sin embargo, ten en cuenta que su precio es elevado"
Gene,4.0 out of 5 stars,"Reviewed in the United States on February 2, 2024",Negative,"{'Negative': 0.5615039, 'Neutral': 0.31913915, 'Positive': 0.11935699}","Phone is great so far.  My issue is with Amazon customer service.  I never received the $150 e-gift card.  I contacted customer service and they act like they have no idea what I am talking about even though I sent them a screenshot of the order showing it was redeemed.UPDATE:  As someone else mentioned, you have to purchase something that is shipped and sold from Amazon.  Pretty limiting.  I wanted to purchase a new charger -  Samsung, Anker, Ugreen all ship from their own stores.  Also, it shows as a discount rather than a Gift Card."
Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on February 17, 2024",Negative,"{'Negative': 0.4148241, 'Neutral': 0.3484353, 'Positive': 0.23674056}","I bought the phone in January 2024,with a Pre-Order Amazon promotion credit $150. The phone has been good as expected. I received an email said ""Your order has earned you a promotional credit which we have added to your account."" This never happened. I feel the ""Promotion"" is a scam."
Vanessa Reale,5.0 out of 5 stars,"Reviewed in the United States on February 16, 2024",Negative,"{'Negative': 0.66587275, 'Neutral': 0.27681717, 'Positive': 0.057310052}","I don’t typically buy electronics off of Amazon and normally order straight from the manufacturer or Best Buy. I tried pre ordering from Samsung and had SO many issues. They canceled my order the day it was supposed to ship and then kept canceling it after replacing the order and trying to speak to customer service. I had the same experience with Best Buy. Order was constantly being canceled and not a single person over the phone or in the store could answer. Both Samsung and Best Buy stated that we wouldn’t get the product until the end of March. When ordering from Amazon, we had zero issues and got the product two days after purchasing it."
BR Reviewer,3.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Neutral,"{'Negative': 0.39225218, 'Neutral': 0.3952588, 'Positive': 0.21248895}","So far I'm not impressed. It's very hard to differentiate from an iPhone until you turn it on. Maybe that's the point.Good:Fingerprint scanner is VERY fast compared to my older s10. S10 is 5 years older so that isn't saying much.Lame:No more rounded edges or screen. SD card was great to be able to add more space when you download movies from apps.  No Headphone port, which has come in handy on OLD devices that only support aux inputs.The AI features are neat, but not all that useful. Maybe if you need to translate languages often. I'm not sure why the AI stuff can't be applied to any other phone, since a lot of it is offloaded to the cloud anyway.Seems to be an S23 with some software that could also work on the s23.  Feels like a step backward from an older S10, which had curved edges, headphone and SD card ports. Phones seem to have plateaued about 4 years ago.Save your money and get an older s23 or 22."
Red Pin,5.0 out of 5 stars,"Reviewed in the United States on February 3, 2024",Positive,"{'Negative': 0.023019115, 'Neutral': 0.08096601, 'Positive': 0.8960149}","I did a ton of research before I committed to a purchase.  But it's not the same kind of research that techies can do.  I rely on their input for my impressions and then I ogle the colors and how it fits in my hand and how fast it goes and can I type better on the shrunken keyboard -- all while trusting the professional reviewers.  I'm writing this review for people like me.  Do your own research and trust in that.  I think I got a terrific phone that looks phenomenal and will last me for at least 7 more years.  And using it is so easy.  Transferring everything was so easy.  Now I'll have to master the camera.  Nitpicky opinions are no longer useful.  ""It should have square corners, it should have round corners, they did this, why didn't they do that..."" ENOUGH.  Thank you, Samsung, I'm happy to be a member of your club and this phone is amazing to me."
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Positive,"{'Negative': 0.09112918, 'Neutral': 0.16529666, 'Positive': 0.74357414}","Prior to buying the s24+ I purchased a Pixel 8 Pro and really wanted to love it. That however turned into pure frustration with multiple glitches in the first two weeks of ownership that Google support couldn't fix. So much so, that the Pixel 8 Pro was returned in favor of the s24+. I am so glad I did that, because owning the s24+ has been nothing but pure joy. I mean this phone rocks in every way and the transition from my old s10 5g was seamless and straightforward. It literally took couple of hours from start to finish and there is no learning curve. With the Pixel 8 Pro transferring data was a complete disaster with multiple glitches, unfixable bugs and a few calls to Google support. There were some many issues with the Pixel 8 Pro that it would take an essay to list them all. Thank you Samsung for turning my frustration into pure joy!"
Ken,5.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Positive,"{'Negative': 0.009918351, 'Neutral': 0.06841549, 'Positive': 0.92166615}","$200 Amazon finally received.  Glad had missed return pick up. Purchased special color from Samsung (in used) and gray from Amazon (not opened yet, waiting for case). Nice display and great battery life. Screen reflective rate decreased 75% is true w/o screen protector or used non-reflective screen protector. Used to charge S24 2 to 3 times when battery @ 50% or less before bed time. Now only 1 time with s24 ultra. Cameras are much better than s24. Got used to the weight after a week"
Eugenio S.,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Neutral,"{'Negative': 0.027405847, 'Neutral': 0.68743193, 'Positive': 0.2851622}","Cada día me gusta más, he disfrutado descubriendo muchas de sus funciones, aún me quedan aspectos por probar, verdaderamente es un salto hacia el futuro, comprar este teléfono de 512 GB es tener una de las mejores opciones en comunicaciones,  entretenimiento, la tecnología de inteligencia artificial ha puesto en el número 1 a todos aquellos que nos hemos mantenido en Android. Compré un Samsung S24 Ultra y disfrute de lo que nadie ha podido hacer anteriormente con un teléfono."
Pablo Guerra,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Neutral,"{'Negative': 0.02659286, 'Neutral': 0.5106658, 'Positive': 0.46274135}","Primera me tomo el tiempo para escribir una opinión pero tengo que hacerlo. Excelente dispositivo en todos los aspectos. Camara, rendimiento, sonido y estilo. Llevo 4 dias usándolo y ha sido una grata experiencia. Las novedades de la IA hacen un gran atractivo al dia dia. Tenia antes s21 fe y pensaba cambiarme a Iphone pero le quize dar un chance al ultra y espectacular. Sigan haciendo telefonos asi! Eso si es un telefono rubusto y para algunos gustos algo pesado. Para mi perfecto. Gracias."
S.C,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2024",Positive,"{'Negative': 0.0021497922, 'Neutral': 0.015432788, 'Positive': 0.9824174}","I am an iPhone user, and I wanted a second phone to be used as my work phone. I was surprised at how light the S 24+ is. I’m using an android phone after almost 10 years. It is really refreshing. I like the AI features a lot especially useful on WhatsApp. The translations are pretty good."
Noel,3.0 out of 5 stars,"Reviewed in the United States on January 31, 2024",Negative,"{'Negative': 0.5049678, 'Neutral': 0.34826425, 'Positive': 0.14676796}","I live in a fringe area. Above all else in a phone, I need excellent signal handling. If it won't talk to the cell tower, everything else is worthless.  The S24 Ultra fails in this one thing.  I experienced dropped calls, and extremely poor data rates.  My kids have a Galaxy A02 and a TCL 40: both low-end budget phones.  Yet both of these phones consistently have 6db higher signal levels, and twice the download bandwidth of this ""flagship"" phone.  I'm sure if you live in an area with excellent signal, this will be an excellent phone for you.  But if you struggle with a cell signal, this is not the phone for you."
Gabe Cline,3.0 out of 5 stars,"Reviewed in the United States on February 7, 2024",Negative,"{'Negative': 0.7670384, 'Neutral': 0.20794614, 'Positive': 0.025015486}",I got the phone went to my reg carrier and spent money to get a card and kit spent 2 hours before I was told it wouldn't work on their site-I then try ed a few other well known carries that said t hey could help me with activation of a esim card.So I aske Amazon since it was a completely unlocked phone if they could help me get a few dollars back-its costing me15 more dollars per month because I cant use my reg carrier.They said they couldn't get a differment of the price i paid-its its not unlocked to all carriers then the phone shouldn't be as expensive as a totally unlocked one.Iam not a Happy customer.
Pasquale,5.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Positive,"{'Negative': 0.002481894, 'Neutral': 0.037784353, 'Positive': 0.9597338}","The cell phone is nice, fast and secure.I'm very happy with my purchase.YA HE HABLADO CON VARIAS PERSONAS DE SERVICIO A CLIENTE Y NO ME QUIEREN DAR LOS $200 DÓLARES DE CRÉDITO. HABLÉ CON EL SUPERVISOR ADAN EL LUNES 12 DE FEBRERO Y ME DIJO QUE ME IBA A AYUDAR, PERO HASTA HORA NO ME APERECE EL CRÉDITO PROMETIDO."
M,2.0 out of 5 stars,"Reviewed in the United States on February 2, 2024",Negative,"{'Negative': 0.5092289, 'Neutral': 0.33058766, 'Positive': 0.1601835}","edit: after using for about a week... phone still doesn't push gmail notifications after being idle for 20+ minutes.  Seems like android or samsungs being too aggressive in making apps sleep in order to increase the Batter Life statistics for reviewers or something.  Seems to be happening on all my android devices... so not sure if it's an Android 14 issue ('feature') or just the company trying to make their battery life seem better than it is bc they're forcing apps to not be able to push notification.  I only get notification pop-ups after I unlock the phone.... which is almost useless.---finally the human race has come to the conclusion that curved edge displays are absolutely not it.  thank you. thank you. thank you.  The phone physically looks fantastic.  Feels great.. flat display, finally.  Speakers sound good.  Spen color doesn't match... no idea why they can't figure that one out.  Seems like an easy thing to do.  Still doesn't have secure face unlock... iphone does it.  Pixel does it...the thing is, i am barely able to use this phone because it didn't come with a charger.  this phone msrp $1,419.99 and the company doesn't include a charging adapter? $1,419.99.Also, so many features/customization options have been removed.. only mentioning a few out of the dozens, but the color settings don't allow for a vivid option that works.  The display is grainy.  There are color banding issues.  you can't change the brightness level of the AoD.  Bixby can't 'dismiss' a timer that has gone off (apple can do this)... so you have to physically press ""dismiss"" instead of saying ""bixby, dismiss timer.""  again, i am mentioning a few out of DOZENS."
Cheryl,5.0 out of 5 stars,"Reviewed in the United States on February 9, 2024",Positive,"{'Negative': 0.002387568, 'Neutral': 0.012176318, 'Positive': 0.98543614}","Yes, I used an S8 (new Oct. 2018) and it worked great - no problems except 64G space and has not been supported by Samsung for a while. I bought an unlocked Samsung Galaxy S24+ and it is great so far. Fast response, camera zoom is very nice, many features I don't need but will have fun playing with."
Steven,5.0 out of 5 stars,"Reviewed in the United States on February 16, 2024",Positive,"{'Negative': 0.010942438, 'Neutral': 0.11324584, 'Positive': 0.87581176}","Upgraded to an S24 Ultra from an S21.  Worth it.You definitely feel this phone in your pocket. Its big.Get a case, you definitely don't want t drop this thing."
ResearchGoddess,2.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Negative,"{'Negative': 0.7348549, 'Neutral': 0.2284837, 'Positive': 0.036661413}","This was supposed to be an upgrade from my S10e.  However, the sound quality is very disappointing.  Even at full volume, music playing from this phone is not nearly as loud as my old phone.  I see from the Samsung website that others have the same complaint.  I've shared this with Samsung.  Hopefully it's something that can be addressed with a software patch and not a hardware issue.  If anything changes in this regard, I'll update my review.Update: got an unhelpful response from Samsung yesterday.  Today, I tried listening to music through earbuds instead of using the phone speakers.  The left channel is almost completely muted.  I checked the equalizer and it's set for even distribution between left and right channels.  I've let Samsung know about this.  We'll see what happens.Update 2: Samsung tells me they've raised the issue w/their developers for further evaluation.  Meanwhile, I've noticed a second issue.  The screen flickers when I scroll with my finger.  This happens with all the applications on my phone. I've reported this to Samsung as well.Update 3: I've discovered the problem with the left channel.  The problem wasn't in the Equalizer.  In Settings > Accessibility > Hearing enhancements, the balance was incorrect.  I've corrected that, and now the sound is great with my earbuds. However, the loudness and sound quality through the phone speakers still are inferior to my S10e."
Mariela Grigorova,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Positive,"{'Negative': 0.0043832185, 'Neutral': 0.020891253, 'Positive': 0.97472554}","First and foremost that yellow color is absolutely stunning, the photos don't do any justice. It's very subtle, almost beige with gold trim on the sides. Very much needed upgrade from Note 9, this phone is an absolute beast."
PaulaB,3.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Positive,"{'Negative': 0.08101231, 'Neutral': 0.18075839, 'Positive': 0.7382293}","The phone is great. Samsung did it again.  However, I only bought this straight out from Amazon because they promised a $200 reward which made this a cheaper option than my carrier.  Well, they have not given me the credit and each time I call I am told to just wait.  It's been 14 days.  Again, the phone is great.  Buy from your carrier.  I learned my lesson here."
Brandon Montoya,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Positive,"{'Negative': 0.18740629, 'Neutral': 0.19020039, 'Positive': 0.6223933}",This phone is amazing video recording is sooooo crisp. Samsung UI is smooth...... also this phone design compliments a simple but sophisticated style...... the only thing that bums me out is when I pre-ordered I never received my redeemed 200 gift card
Alexis,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Positive,"{'Negative': 0.020259019, 'Neutral': 0.40593663, 'Positive': 0.5738044}","Para mí, el mejor teléfono que ha hecho Samsung. Estoy súper contento con él, lo fluido que está. Para mí, fue un gran cambio. ¡Es una maravilla!"
Lana Ivette,3.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Negative,"{'Negative': 0.92487717, 'Neutral': 0.065707035, 'Positive': 0.009415846}","The Vivid and Standard colors are the same, they do not change. The keyboard isn't great, you have to push down hard on keys. I'm not impressed with this phone. It's a bit Glitchy. The voice doesn't understand you very well when talking. If Samsung doesn't give an update soon to fix these problems; I'm going to return it, before the windows closes on the return."
Kevin,2.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Negative,"{'Negative': 0.88439494, 'Neutral': 0.09670437, 'Positive': 0.018900746}","I, like many others, are in complete shock of how BAD, DULL and WASHED OUT the screen colors are on this phone. Surely these are defective, I can't think of any other reason. This simply can NOT be on purpose like they claim. Along with that, a lot of games I've played have a very slight 'stutter' or lag every other few minutes. I am furious I spent all of this money on phone with subpar screen colors, I mean that has to be in the top 3 aspects of a phone, marked at this price, that NEEDS to be perfect, no exception.I don't know if my phone is defective, but I'm not at all satisfied. If Samsung does not fix this egregious issue, I will have no choice but to return in. That's the last thing I want to do, it's a gorgeous phone otherwise but the color and lag issues are seriously insane for a phone that costs this much.SAMSUNG - You NEED to fix the color issue, save your reputation. I will have no other choice but to NEVER buy your phones again after this."
Catherine Duran,5.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Positive,"{'Negative': 0.0012368864, 'Neutral': 0.010339522, 'Positive': 0.98842365}",Upgraded from iPhone 14 pro max to this. Would like to say it has worked very good for me. No problems with the brightness. Charging has been great.
Doug Lowe,5.0 out of 5 stars,"Reviewed in the United States on February 4, 2024",Positive,"{'Negative': 0.023586106, 'Neutral': 0.08423806, 'Positive': 0.8921758}","This was to replace my S23 Ultra which was more than I wanted or needed and too big for me, plus the new one has no S-Pen, which I never used. This one is perfect. Good price, top quality, quick shipping."
Ever Adrián Bustamante Catzim,5.0 out of 5 stars,"Reviewed in the United States on February 3, 2024",Neutral,"{'Negative': 0.07158699, 'Neutral': 0.8342663, 'Positive': 0.094146766}","Hasta el momento ha funcionado bien, después de 4 años con el mismo celular cambiar al 24 ultra es una gran diferencia qué se nota, más adelante actualizare mi reseña cuando lo haya probado, hasta ahora todo esta muy bien"
Shelly Daugard,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Neutral,"{'Negative': 0.206499, 'Neutral': 0.43957245, 'Positive': 0.3539286}",Use for personal use. I work with people who do not speak my language and the interpretor feature is a must have!!
Keef.,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Positive,"{'Negative': 0.001129894, 'Neutral': 0.009307927, 'Positive': 0.9895622}","Very pleased with this Samsung S24+ phone. Good size, wonderfully clear screen and images. Fast operating system and excellent speakers."
Thomas A. Beaudry,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Positive,"{'Negative': 0.007231047, 'Neutral': 0.024368133, 'Positive': 0.9684008}","If you're on the fence about buying this, you won't be disappointed. Simply amazing in every aspect!"
Mouhamadou,3.0 out of 5 stars,"Reviewed in the United States on February 9, 2024",Negative,"{'Negative': 0.69301194, 'Neutral': 0.230907, 'Positive': 0.07608105}","The phone itself is great. But up to now, like many buyers, I did not receive any promotional credit of $200. Amazon customer service does not seem to understand while the promotion is still going on in the phone page. It is very strange."
